,BEARING,mean_iwp,std_iwp,freq_iwp,mean_ted,std_ted,freq_ted,mean_species,std_species,freq_species,in_out,island,species,population_status,hum_pop,distant_hum_pop,group
120,110,50952.25095,19194.55509,1393909,0.845119408,1.154795511,354199,14.44892126,11.48148628,1533834,0,HAW,CCA,1,185079,96224,9
121,120,45074.8716,20799.92925,1389476,0.870290128,1.222282407,252316,14.56413528,11.30553197,1435599,0,HAW,CCA,1,185079,96224,9
122,130,38729.01789,21536.73843,1077789,0.819766466,1.138816214,147274,14.33283832,11.11963077,1254195,0,HAW,CCA,1,185079,96224,9
123,140,34178.84455,19702.76556,916135,0.566168862,0.854147658,149236,14.81784438,11.07145838,989505,0,HAW,CCA,1,185079,96224,9
124,150,34628.48173,19039.40554,912902,0.472260049,0.703509448,179711,16.33425966,11.46597642,889362,0,HAW,CCA,1,185079,96224,9
125,160,36762.75724,19957.38768,1023924,0.550508682,0.821682077,213103,18.64229002,12.01028776,1138689,1,HAW,CCA,1,185079,96224,9
126,170,34872.07781,21678.7037,1148711,0.75209782,1.187862396,251819,19.58615142,12.00079408,1580085,1,HAW,CCA,1,185079,96224,9
127,180,29471.74241,21429.97402,1437739,0.768789339,1.223765591,263818,19.83568912,11.65940376,2217618,1,HAW,CCA,1,185079,96224,9
128,190,26555.53511,20399.99916,1542972,0.745859501,1.236141338,271121,19.02234389,11.20375044,2224737,1,HAW,CCA,1,185079,96224,9
129,200,23960.85263,19084.20648,1475045,0.717411756,1.175818029,260105,18.55482896,10.91286751,2079657,1,HAW,CCA,1,185079,96224,9
130,210,20432.67422,16046.00172,1401839,0.569470276,0.983893969,247724,17.9840995,10.5333929,1906902,1,HAW,CCA,1,185079,96224,9
131,220,17088.52324,13730.59426,1339208,0.423988518,0.759964106,239840,16.83233778,9.506153971,1685736,1,HAW,CCA,1,185079,96224,9
132,230,13121.4804,10693.8476,1177038,0.296614087,0.47788331,201902,15.57821238,8.592482812,1351440,0,HAW,CCA,1,185079,96224,9
133,240,10099.31663,7439.66043,947700,0.251591709,0.363830016,200238,13.90374325,7.390563233,751977,0,HAW,CCA,1,185079,96224,9
